ZEB-SOUND BOMB N1 Hands-Free | \\?\BTHHFENUM#BthHFPAudio#9&e1d5fe4&0&97#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Wave
VICTOR | \\?\ACPI#PNP0C0A#2&daba3ff&1#{72631e54-78a4-11d0-bcf7-00aa00b7b32a}
VICTOR | \\?\PCI#VEN_10DE&DEV_25AC&SUBSYS_8DD0103C&REV_A1#4&168a62e2&0&0009#{937ee9b6-0ed3-411c-982b-1f564afbabd3}
VICTOR | \\?\ACP#DEVTYPE_0007&DEVREV_0000&VEN_1022&DEV_15E2&SUBSYS_103C8DD0&REV_63#5&2ba4f5e4&0&07#{dda54a40-1e4c-11d1-a050-405705c10000}\TopologyUsbHsMic-2189465111
CMF Buds | \\?\BTHENUM#{0000110b-0000-1000-8000-00805f9b34fb}_VID&000102b0_PID&0000#8&2c19fa78&1&3CB0ED9B0270_C00000000#{ee39cc43-d390-49cb-a3f2-5f221581e91f}\CONTROL
VICTOR | \\?\HID#ELAN07FB&Col03#4&271bf5ca&1&0002#{4c238ab1-6662-4d41-be7b-267885cbe772}
VICTOR | \\?\ACPI#PNP0C0B#0#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
Realtek HD Audio Mic input mixer | \\?\HDAUDIO#FUNC_01&VEN_10EC&DEV_0245&SUBSYS_103C8DD0&REV_1000#5&23fce785&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\RtMicInTopo
AMD HD Audio HDMI out  mixer #4 | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{dda54a40-1e4c-11d1-a050-405705c10000}\e4HDMIOut4Topo
VICTOR | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{a17579f0-4fec-4936-9364-249460863be5}\AMD_DbgInterface
Boult Audio Airbass | \\?\BTHENUM#{0000110e-0000-1000-8000-00805f9b34fb}_VID&000105d6_PID&000a#8&2c19fa78&1&73214FCE2BB3_C00000000#{0000110e-0000-1000-8000-00805f9b34fb}
AMD HD Audio HDMI out #6 | \\?\HDAUDIO#FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1008#5&2c9de15f&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\e6HDMIOut8Wave
